names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG18345,-3.1710372,-1.2011483,0.0015189564038837996,0.009211170329227969
Dmel_CG1561,-3.379172,-1.1979017,0.0007270445289639626,0.004597734434608004
Dmel_CG13061,-3.4113886,-1.7940083,0.0006463287224375249,0.004127019310763613
Dmel_CG6781,-4.021736,-1.7655963,5.7770797440721215e-05,0.00042082375231070816
Dmel_CG4784,-4.2497025,-2.2505636,2.1405472515794917e-05,0.00016268901927707404
Dmel_CG32580,-5.371843,-2.6259763,7.793607738346106e-08,7.437603434248815e-07
Dmel_CR41602,-5.626611,-1.143852,1.8378436758851025e-08,1.826861100212264e-07
Dmel_CG5711,-7.6036572,-1.2103082,2.878771249400286e-14,3.957105961126481e-13
Dmel_CR45859,-13.527252,-1.3259902,1.0798507683735008e-41,3.132520738895402e-40
Dmel_CG4899,-13.624943,-1.7092146,2.8463183362156572e-42,8.348988673261149e-41
Dmel_CG4550,-33.164272,-1.6496937,3.526680426548401e-241,9.860448401121817e-239
Dmel_CR32665,-148.57535,-9.018477,0.0,0.0
Dmel_CR32777,-180.53362,-7.877875,0.0,0.0
