names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG6153,-0.045233395,-0.18467993,0.9639212770543779,1.0
Dmel_CG9780,-0.045240346,-0.36211714,0.9639157368017149,1.0
Dmel_CG16886,-0.045253087,-1.5533016,0.9639055796763577,1.0
Dmel_CG6486,-0.04525772,-1.7956803,0.9639018861776799,1.0
Dmel_CG30141,-0.04526081,-2.0827358,0.9638994238456584,1.0
Dmel_CG5940,-0.04560024,-0.22683723,0.9636288772170952,1.0
Dmel_CG13978,-0.045789458,-0.31208274,0.9634780623685242,1.0
Dmel_CG34010,-0.045896035,-0.9887013,0.9633931141716128,1.0
Dmel_CR46133,-0.045896806,-1.1074067,0.9633924986064837,1.0
Dmel_CG7213,-0.045903757,-1.5346258,0.9633869585213045,1.0
Dmel_CG33509,-0.045906074,-1.8680443,0.9633851118266377,1.0
Dmel_CG4740,-0.046316173,-0.5738242,0.9630582499738842,1.0
Dmel_CG11438,-0.046334706,-0.72613686,0.9630434767030421,1.0
Dmel_CG8837,-0.04643897,-0.16068104,0.9629603772911097,1.0
Dmel_CG3059,-0.04647295,-0.15328339,0.9629332931252266,1.0
Dmel_CR44946,-0.046536665,-0.8009567,0.9628825104295041,1.0
Dmel_CG14154,-0.046536665,-0.81852037,0.9628825104295041,1.0
Dmel_CG18730,-0.046543617,-1.0337636,0.9628769705081672,1.0
Dmel_CG32006,-0.04654748,-1.134541,0.9628738927748656,1.0
Dmel_CG15553,-0.04654748,-1.1196097,0.9628738927748656,1.0
Dmel_CG7230,-0.046549022,-1.2139888,0.9628726616816998,1.0
Dmel_CG3429,-0.046549022,-1.2590703,0.9628726616816998,1.0
Dmel_CG8640,-0.046549797,-1.2823917,0.9628720461351501,1.0
Dmel_CR45734,-0.046549797,-1.3702996,0.9628720461351501,1.0
Dmel_CG3389,-0.04655134,-1.2879883,0.9628708150421171,1.0
Dmel_CG31287,-0.04655134,-1.3425436,0.9628708150421171,1.0
Dmel_CG15118,-0.046781875,-0.14544342,0.962687075401096,1.0
Dmel_CG10462,-0.046911623,-0.27397412,0.9625836650167009,1.0
Dmel_CG12493,-0.04694406,-0.4808623,0.9625578125188818,1.0
Dmel_CG13794,-0.04697109,-0.6229206,0.9625362688007696,1.0
Dmel_CG1712,-0.047190428,-0.9331378,0.962361457929507,1.0
Dmel_CG8634,-0.0471912,-0.9855847,0.9623608424014619,1.0
Dmel_CG16820,-0.04719197,-1.0453697,0.9623602268734394,1.0
Dmel_CG8526,-0.047193516,-1.1494673,0.9623589958174614,1.0
Dmel_CG11842,-0.047197375,-1.0752745,0.9623559181779094,1.0
Dmel_CR33693,-0.04720124,-1.4203099,0.9623528405389182,1.0
Dmel_CR43661,-0.047564223,-0.36568278,0.9620635449847779,1.0
Dmel_CG12964,-0.047585078,-0.46007526,0.9620469260298191,1.0
Dmel_CG6965,-0.047587395,-0.21367718,0.9620450794802858,1.0
Dmel_CR45960,-0.04760207,-0.5394067,0.962033384671304,1.0
Dmel_CG14185,-0.047632188,-0.72420746,0.9620093795626736,1.0
Dmel_CG15083,-0.04764686,-0.7483952,0.9619976847786362,1.0
Dmel_CG18304,-0.04783183,-0.79475397,0.9618502696502365,1.0
Dmel_CG12048,-0.04783569,-0.88539076,0.9618471921040254,1.0
Dmel_CG10275,-0.047842257,-0.1774686,0.9618419602767713,1.0
Dmel_CG7157,-0.047847275,-1.1593711,0.9618379594688033,1.0
Dmel_CR46035,-0.04800753,-0.5007464,0.9617102418738244,1.0
Dmel_CG11594,-0.048229955,-0.15481482,0.9615329776360725,1.0
Dmel_CR46079,-0.048507985,-1.3959085,0.961311400014035,1.0
Dmel_CG4455,-0.048690252,-0.24348184,0.9611661451934927,1.0
Dmel_CG8476,-0.04887792,-0.4118358,0.9610165833142882,1.0
Dmel_CG3048,-0.04911541,-0.53758067,0.960827324878736,1.0
Dmel_CG13154,-0.04912313,-0.5866924,0.9608211701698688,1.0
Dmel_CG9936,-0.049152866,0.048868526,0.9607974745625336,1.0
Dmel_CG12272,-0.049243223,-0.124315925,0.9607254647476711,1.0
Dmel_CG4301,-0.049311575,-0.101555906,0.9606709959979622,1.0
Dmel_CG9641,-0.049361,-0.1412298,0.9606316062820334,1.0
Dmel_CG17975,-0.049785387,-0.8287757,0.9602934126077635,1.0
Dmel_CG7497,-0.050263446,-0.7044194,0.9599124532264566,1.0
Dmel_CG15631,-0.05042756,-0.7064874,0.9597816736388243,1.0
Dmel_CG10031,-0.050718337,-0.42220983,0.9595499656410221,1.0
Dmel_CG15544,-0.050828777,-0.4560301,0.9594619605760466,1.0
Dmel_CR42874,-0.051095996,-0.9597511,0.9592490272898474,1.0
Dmel_CG3006,-0.051106807,-0.9625039,0.9592404115532366,1.0
Dmel_CG30496,-0.051400285,-0.18359576,0.9590065576669526,1.0
Dmel_CG33290,-0.051977973,-18.792507,0.9585462450790192,1.0
Dmel_CG30395,-0.051977973,-19.284004,0.9585462450790192,1.0
Dmel_CR42657,-0.051977973,-19.25144,0.9585462450790192,1.0
Dmel_CG10993,-0.052089185,-0.30395246,0.9584576303337434,1.0
Dmel_CG13732,-0.05214711,-0.48765957,0.9584114770238188,1.0
Dmel_CR45048,-0.052360266,-0.37602678,0.9582416340449471,1.0
Dmel_CG3032,-0.052428614,-0.14799517,0.9581871739255446,1.0
Dmel_CR44496,-0.05248731,-0.20622762,0.9581404060691484,1.0
Dmel_CG6639,-0.052623622,-3.0264504,0.9580317944324536,1.0
Dmel_CR44512,-0.052623622,-3.0575366,0.9580317944324536,1.0
Dmel_CG33939,-0.052623622,-3.0603309,0.9580317944324536,1.0
Dmel_CG44303,-0.052624397,-2.889785,0.9580311790712905,1.0
Dmel_CG6433,-0.052624397,-2.945097,0.9580311790712905,1.0
Dmel_CG13031,-0.052625168,-3.4657094,0.9580305637101525,1.0
Dmel_CG3246,-0.052805115,-0.44171146,0.9578871852475651,1.0
Dmel_CG5846,-0.052917488,-0.17577836,0.9577976513189526,1.0
Dmel_CG14089,-0.052956488,-0.28445,0.9577665760935623,1.0
Dmel_CG13841,-0.053058047,-0.9626892,0.9576856577386283,1.0
Dmel_CR45376,-0.05326464,-1.6828014,0.9575210533061073,1.0
Dmel_CG15824,-0.053273134,-2.4653544,0.95751428456443,1.0
Dmel_CG30142,-0.05327391,-2.8272474,0.9575136692244294,1.0
Dmel_CG31481,-0.053346504,-0.06283906,0.9574558273774677,1.0
Dmel_CG3348,-0.053443816,0.0045724916,0.9573782950404188,1.0
Dmel_CG4771,-0.05349479,-0.56943494,0.957337683024745,1.0
Dmel_CG5106,-0.05365002,-0.49923232,0.9572140016596189,1.0
Dmel_CG8598,-0.0536701,-0.16817601,0.9571980031502502,1.0
Dmel_CR45478,-0.053911835,-1.4720615,0.9570054070655427,1.0
Dmel_CG33110,-0.053914152,-1.5576315,0.9570035611088056,1.0
Dmel_CR44301,-0.053914152,-1.58067,0.9570035611088056,1.0
Dmel_CG32037,-0.053921103,-2.3068793,0.9569980232399777,1.0
Dmel_CG10345,-0.05392419,-3.1849315,0.9569955619656093,1.0
Dmel_CG42864,-0.053925738,-2.7100515,0.9569943313285789,1.0
Dmel_CG31855,-0.054068614,-0.1263373,0.9568804978469212,1.0
Dmel_CG4274,-0.054119587,-0.40789536,0.9568398871958985,1.0
Dmel_CG32237,-0.054130398,-0.41384834,0.9568312728297772,1.0
Dmel_CG15616,-0.05430301,-0.49599755,0.9566937513111617,1.0
Dmel_CG1257,-0.054331586,-0.7329685,0.9566709850095131,1.0
Dmel_CG31866,-0.054403797,-0.34888482,0.9566134541075,1.0
Dmel_CG10670,-0.054450907,-0.36683875,0.956575920699651,1.0
Dmel_CG14401,-0.054462492,-0.34050214,0.9565666911878764,1.0
Dmel_CG32556,-0.054534703,-0.25266135,0.9565091606958069,1.0
Dmel_CG7235,-0.054556713,-1.1868664,0.9564916247085042,1.0
Dmel_CR44582,-0.05455903,-1.5320315,0.9564897788163288,1.0
Dmel_CG34045,-0.05456444,-1.4904137,0.9564854717354935,1.0
Dmel_CG5653,-0.0545683,-1.7367407,0.9564823952499604,1.0
Dmel_CR34611,-0.054572932,-2.157734,0.9564787034681764,1.0
Dmel_CG3371,-0.054772962,-0.12625806,0.9563193424455183,1.0
Dmel_CG15434,-0.05494905,-0.5373722,0.9561790569668991,1.0
Dmel_CG11709,-0.05496063,-0.5719861,0.9561698277066355,1.0
Dmel_CG14118,-0.054967582,-0.60777384,0.956164290153298,1.0
Dmel_CR45439,-0.055206224,-1.1578376,0.955974168773807,1.0
Dmel_CG30384,-0.055211633,-1.3834678,0.9559698618459631,1.0
Dmel_CR40341,-0.055211633,-1.512971,0.9559698618459631,1.0
Dmel_CG14254,-0.05521472,-1.506502,0.9559674007449152,1.0
Dmel_CG9460,-0.055215493,-1.5388771,0.9559667854697188,1.0
Dmel_CG1386,-0.05522476,-2.194009,0.9559594021694088,1.0
Dmel_CG9372,-0.055320527,-0.27337343,0.9558831082875916,1.0
Dmel_CG12134,-0.05534447,-0.13860324,0.9558640348802652,1.0
Dmel_CR45208,-0.05543483,-0.5544696,0.9557920483771715,1.0
Dmel_CG18547,-0.05556033,-0.34091163,0.9556920677211964,1.0
Dmel_CG34338,-0.05563679,-0.6954243,0.9556311567708871,1.0
Dmel_CR44382,-0.05584879,-1.0365357,0.9554622686740919,1.0
Dmel_CG43317,-0.05585651,-1.2761229,0.9554561161399633,1.0
Dmel_CG8196,-0.055857282,-1.2428156,0.9554555008866964,1.0
Dmel_CG17871,-0.05628669,-0.68875486,0.9551134241906266,1.0
Dmel_CG10553,-0.056493666,-0.9452725,0.9549485412503382,1.0
Dmel_CR33709,-0.0564983,-0.9696337,0.9549448498632659,1.0
Dmel_CR44702,-0.056500617,-1.0102289,0.9549430041700921,1.0
Dmel_CG14174,-0.056506023,-0.19106092,0.9549386975536263,1.0
Dmel_CG17531,-0.056905694,-0.55239105,0.9546203192028285,1.0
Dmel_CG13687,-0.057144724,-0.89353645,0.9544299108732526,1.0
Dmel_CG3926,-0.057144724,-0.9436528,0.9544299108732526,1.0
Dmel_CG32669,-0.05714704,-0.9049153,0.9544280652478726,1.0
Dmel_CG7724,-0.057168666,-1.4242133,0.9544108394227785,1.0
Dmel_CG1859,-0.057168666,-1.4138857,0.9544108394227785,1.0
Dmel_CR44222,-0.057569493,-0.5979409,0.9540915503146287,1.0
Dmel_CG1629,-0.057584167,-0.65931106,0.9540798616428342,1.0
Dmel_CR44493,-0.057593435,-0.20831427,0.9540724793288949,1.0
Dmel_CG17286,-0.05762819,-0.8266996,0.9540447956867214,1.0
Dmel_CR45985,-0.057787284,-0.8258814,0.9539180668331394,1.0
Dmel_CG8362,-0.057795007,-0.9706026,0.9539119149766694,1.0
Dmel_CG10473,-0.057801187,0.003467323,0.9539069934934704,1.0
Dmel_CG34375,-0.057816632,-1.2525026,0.9538946897931627,1.0
Dmel_CG4091,-0.05791819,-0.11263948,0.9538137932374018,1.0
Dmel_CG17249,-0.05791858,-0.12170473,0.9538134856468425,1.0
Dmel_CR45759,-0.05817846,-0.41768116,0.9536064787630703,1.0
Dmel_CG7831,-0.058380805,-0.19919279,0.9534453046930915,1.0
Dmel_CG11606,-0.058678143,-0.19037874,0.9532084683901594,1.0
Dmel_CG15087,-0.058795534,-0.17614496,0.9531149653240147,1.0
Dmel_CG30203,-0.059434235,-0.30974594,0.9526062461669913,1.0
Dmel_CR44450,-0.059519187,-0.5321673,0.9525385824334678,1.0
Dmel_CG14153,-0.05953927,-0.6026301,0.9525225892373352,1.0
Dmel_CG31200,-0.05978641,-0.17197648,0.9523257514681616,1.0
Dmel_CG14298,-0.059816916,-0.34420648,0.9523014545074444,1.0
Dmel_CG8297,-0.06005517,-0.12317901,0.9521116936958043,1.0
Dmel_CG17985,-0.06020886,-0.17029122,0.951989288647852,1.0
Dmel_CG13076,-0.06037066,-0.6168648,0.9518604262660372,1.0
Dmel_CG3540,-0.060418542,-1.1431714,0.9518222906233806,1.0
